STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code
13,243,Georgia,Randolph County,2000,7791,GA
13,245,Georgia,Richmond County,2000,199775,GA
13,247,Georgia,Rockdale County,2000,70111,GA
13,249,Georgia,Schley County,2000,3766,GA
13,251,Georgia,Screven County,2000,15374,GA
13,253,Georgia,Seminole County,2000,9369,GA
13,255,Georgia,Spalding County,2000,58417,GA
13,257,Georgia,Stephens County,2000,25435,GA
13,259,Georgia,Stewart County,2000,5252,GA
13,261,Georgia,Sumter County,2000,33200,GA
13,263,Georgia,Talbot County,2000,6498,GA
13,265,Georgia,Taliaferro County,2000,2077,GA
13,267,Georgia,Tattnall County,2000,22305,GA
13,269,Georgia,Taylor County,2000,8815,GA
13,271,Georgia,Telfair County,2000,11794,GA
13,273,Georgia,Terrell County,2000,10970,GA
13,275,Georgia,Thomas County,2000,42737,GA
13,277,Georgia,Tift County,2000,38407,GA
13,279,Georgia,Toombs County,2000,26067,GA
13,281,Georgia,Towns County,2000,9319,GA
13,283,Georgia,Treutlen County,2000,6854,GA
13,285,Georgia,Troup County,2000,58779,GA
13,287,Georgia,Turner County,2000,9504,GA
13,289,Georgia,Twiggs County,2000,10590,GA
13,291,Georgia,Union County,2000,17289,GA
13,293,Georgia,Upson County,2000,27597,GA
13,295,Georgia,Walker County,2000,61053,GA
13,297,Georgia,Walton County,2000,60687,GA
13,299,Georgia,Ware County,2000,35483,GA
13,301,Georgia,Warren County,2000,6336,GA
13,303,Georgia,Washington County,2000,21176,GA
13,305,Georgia,Wayne County,2000,26565,GA
13,307,Georgia,Webster County,2000,2390,GA
13,309,Georgia,Wheeler County,2000,6179,GA
13,311,Georgia,White County,2000,19944,GA
13,313,Georgia,Whitfield County,2000,83525,GA
13,315,Georgia,Wilcox County,2000,8577,GA
13,317,Georgia,Wilkes County,2000,10687,GA
13,319,Georgia,Wilkinson County,2000,10220,GA
13,321,Georgia,Worth County,2000,21967,GA
15,1,Hawaii,Hawaii County,2000,148677,HI
15,3,Hawaii,Honolulu County,2000,876156,HI
15,5,Hawaii,Kalawao County,2000,147,HI
15,7,Hawaii,Kauai County,2000,58463,HI
15,9,Hawaii,Maui County,2000,128094,HI
16,1,Idaho,Ada County,2000,300904,ID
16,3,Idaho,Adams County,2000,3476,ID
16,5,Idaho,Bannock County,2000,75565,ID
16,7,Idaho,Bear Lake County,2000,6411,ID
16,9,Idaho,Benewah County,2000,9171,ID
16,11,Idaho,Bingham County,2000,41735,ID
16,13,Idaho,Blaine County,2000,18991,ID
